N_train	N_test	N_all_features	all_features_testing
O43193_pKi	60	15	279	-0.15932
O60563_pIC50	60	16	279	-0.3384
O76074_pIC50	1070	268	279	0.62733
O95180_pIC50	64	17	279	0.14997
P00742_pIC50	1473	369	279	0.58103
P00749_pKi	645	162	279	0.55302
P03372_pKi	205	52	279	0.65452
P03956_pIC50	1500	376	279	0.59595
P04062_pIC50	180	45	279	0.53066
P04066_pKi	60	16	279	0.53578
P04150_pEC50	428	108	279	0.54124
P04150_pIC50	1008	252	279	0.60053
P04150_pKi	576	144	279	0.59531
P05106_pIC50	906	227	279	0.48755
P06756_pIC50	45	12	279	-0.01658
P06870_pKi	47	12	279	0.1327
P07947_pIC50	55	14	279	0.54209
P07948_pIC50	144	36	279	0.12447
P08069_pIC50	816	205	279	0.63021
P08172_pIC50	295	74	279	0.63399
P08238_pEC50	127	32	279	0.30654
P08588_pIC50	396	100	279	0.66492
P08709_pKi	254	64	279	0.4702
P09874_pKi	284	72	279	0.48768
P0DMS8_pEC50	53	14	279	-0.25799
P0DMS8_pKi	2135	534	279	0.58198
P10276_pEC50	50	13	279	0.07807
P10415_pEC50	128	32	279	0.48911
P10721_pIC50	451	113	279	0.51393
P11309_pIC50	728	182	279	0.64261
P11388_pIC50	89	23	279	0.56617
P11511_pIC50	1140	285	279	0.49105
P15085_pKi	44	12	279	0.09157
P19320_pIC50	78	20	279	0.34517
P21452_pKi	376	95	279	0.54796
P21554_pKi	1636	410	279	0.53313
P21730_pIC50	183	46	279	0.07362
P21731_pKd	132	33	279	0.51124
P21918_pKi	181	46	279	0.56675
P22748_pKi	262	66	279	0.51808
P23458_pIC50	231	58	279	0.61426
P24387_pIC50	297	75	279	-0.00577
P24941_pKd	51	13	279	-0.91545
P25116_pIC50	465	117	279	0.42448
P25774_pIC50	945	237	279	0.49957
P28222_pIC50	188	47	279	-0.28189
P28336_pIC50	49	13	279	0.69986
P29375_pIC50	43	11	279	0.58827
P30559_pEC50	60	16	279	0.12028
P30872_pIC50	182	46	279	0.35213
P31639_pEC50	79	20	279	0.35702
P31639_pIC50	576	144	279	0.51951
P31941_pIC50	369	93	279	0.37149
P32238_pIC50	229	58	279	0.63409
P33032_pKi	312	78	279	0.68708
P33261_pKi	42	11	279	-0.19462
P34903_pKi	484	121	279	0.36387
P34995_pIC50	226	57	279	0.19905
P35218_pKi	196	49	279	0.78323
P35236_pIC50	359	90	279	0.23429
P35346_pIC50	204	51	279	0.55936
P37173_pIC50	44	12	279	-0.17433
P37231_pKi	200	50	279	0.26583
P37288_pIC50	164	42	279	0.31159
P41145_pIC50	737	185	279	0.54671
P41968_pEC50	234	59	279	0.1612
P42345_pIC50	1347	337	279	0.70116
P43119_pKi	88	23	279	0.43182
P43235_pKi	372	93	279	0.70295
P45452_pKi	164	42	279	0.5642
P45983_pIC50	857	215	279	0.53869
P47712_pIC50	200	50	279	0.59945
P47871_pIC50	510	128	279	0.58249
P49759_pIC50	109	28	279	0.24774
P49798_pEC50	152	39	279	0.22164
P50406_pIC50	523	131	279	0.41637
P55072_pIC50	103	26	279	0.75199
P60953_pKi	82	21	279	-0.19728
P62937_pIC50	106	27	279	0.95523
Q04609_pKi	56	14	279	0.34742
Q07343_pIC50	526	132	279	0.7055
Q07817_pKi	160	40	279	0.68885
Q08345_pIC50	100	25	279	-0.53628
Q08881_pKi	52	13	279	0.75035
Q12791_pIC50	55	14	279	-0.12852
Q8TDS4_pIC50	176	44	279	0.63362
Q96EB6_pIC50	219	55	279	0.7374
Q96GD4_pIC50	935	234	279	0.61058
Q9GZU7_pIC50	796	200	279	0.02627
Q9H4B4_pIC50	76	20	279	-0.03388
Q9HC97_pIC50	150	38	279	0.18459
Q9HCG7_pIC50	60	15	279	0.72887
Q9NR96_pIC50	183	46	279	0.0611
Q9NUW8_pIC50	84	21	279	0.24086
Q9UIQ6_pKi	64	16	279	0.48601
Q9UKV0_pIC50	56	14	279	-0.92754
Q9UQL6_pIC50	65	17	279	0.29507
Q9Y4P1_pIC50	265	67	279	-0.24579
Q9Y5Y4_pKi	428	107	279	0.56383
Q9Y6Q9_pEC50	65	17	279	-0.8857
